# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_201937
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 1200
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
251 726 3124 47.53 24.90 18.32 4.28 52.47
252 720 3089 38.47 19.15 14.10 5.19 61.53
253 715 3055 35.34 13.51 7.56 14.25 64.66
254 712 3037 34.36 14.26 7.77 12.31 65.64
255 721 3157 38.66 16.46 7.88 14.29 61.34
256 734 3170 31.70 13.23 9.06 9.39 68.30
257 754 3161 38.53 18.66 13.29 6.57 61.47
258 752 3144 35.57 13.12 8.11 14.31 64.43
259 746 3167 38.58 15.87 9.39 13.31 61.42
260 726 3117 30.70 17.26 9.97 3.45 69.30
261 693 3047 64.46 32.33 16.05 16.05 35.54
262 706 3187 45.06 19.55 10.23 15.25 54.94
263 685 3168 40.67 15.81 9.86 14.99 59.33
264 665 3149 53.12 25.29 14.26 13.55 46.88
265 671 3105 51.12 27.98 15.91 7.21 48.88
266 682 3103 36.59 18.53 14.84 3.19 63.41
267 661 3052 31.74 17.59 11.38 2.75 68.26
268 673 3050 35.38 18.18 14.16 3.01 64.62
269 775 3224 33.63 13.01 15.92 4.68 66.37
270 753 3224 28.80 9.75 14.23 4.80 71.20
271 728 3199 32.03 10.00 11.04 10.96 67.97
272 706 3194 34.17 9.34 10.71 14.09 65.83
273 904 3241 49.11 15.45 18.81 14.83 50.89
274 883 3221 40.93 14.86 10.87 15.18 59.07
275 631 3015 87.58 51.90 21.60 14.06 12.42
276 631 3015 87.58 51.90 21.60 14.06 12.42559 3033 96.18 55.50 23.54 17.12 3.82
277 754 3213 58.69 31.05 13.08 14.54 41.31
278 723 3168 48.63 23.15 11.30 14.16 51.37
279 713 3192 44.20 22.09 8.48 13.61 55.80
280 718 3216 52.45 31.30 15.48 5.65 47.55
281 696 3196 46.06 20.63 13.92 11.49 53.94
282 692 3178 42.58 17.94 10.95 13.67 57.42
283 701 3159 39.36 17.73 8.06 13.55 60.64
284 699 3142 42.31 20.04 13.33 8.91 57.69
285 695 3124 31.56 16.80 12.83 1.90 68.44
286 661 3088 29.04 16.12 11.25 1.65 70.96
287 650 3203 36.24 19.69 13.53 3.00 63.76
288 658 3197 40.94 18.07 9.20 13.66 59.06
289 662 3186 43.96 19.16 11.02 13.76 56.04
290 659 3169 30.57 16.88 11.53 2.14 69.43
291 659 3139 29.19 16.03 11.10 2.04 70.81
292 748 3192 44.46 25.11 16.10 3.23 55.54
293 689 3268 43.88 27.33 13.61 2.92 56.12
294 704 3247 41.31 27.48 11.56 2.26 58.69
295 697 3236 32.80 21.64 9.59 1.55 67.20
296 687 3201 47.62 33.28 12.33 1.99 52.38
297 659 3149 51.03 33.75 14.44 2.82 48.97
298 676 3280 35.63 24.37 9.84 1.40 64.37
299 653 3229 44.52 30.11 9.32 5.07 55.48
300 665 3216 44.60 25.52 5.79 13.28 55.40
301 661 3200 46.03 24.71 8.02 13.29 53.97
302 745 3381 38.47 17.46 7.21 13.78 61.53
303 756 3376 38.18 8.34 15.06 14.76 61.82
304 726 3378 38.84 9.02 13.77 16.03 61.16
305 745 3349 30.92 7.44 9.55 13.92 69.08
306 741 3346 30.22 8.70 8.05 13.45 69.78
307 705 3295 38.25 14.21 10.69 13.34 61.75
308 693 3271 49.12 28.06 10.32 10.72 50.88
309 683 3262 44.43 23.28 9.54 11.60 55.57
310 769 3348 46.63 22.26 10.51 13.84 53.37
311 773 3339 42.16 17.86 10.45 13.83 57.84
312 785 3414 34.76 14.41 8.01 12.31 65.24
313 793 3408 37.44 20.60 14.86 1.97 62.56
314 776 3338 39.28 21.45 13.00 4.81 60.72
315 766 3277 37.77 16.63 7.58 13.55 62.23
316 750 3245 41.54 17.64 9.96 13.92 58.46
317 762 3242 28.64 12.56 6.03 10.03 71.36
318 750 3335 37.99 23.79 11.51 2.68 62.01
319 745 3301 26.38 15.12 9.22 2.03 73.62
320 743 3284 30.85 17.11 12.03 1.69 69.15
321 737 3248 26.06 14.59 9.67 1.78 73.94
322 732 3213 30.77 16.33 12.16 2.26 69.23
323 727 3194 33.60 17.67 13.53 2.38 66.40
324 735 3365 33.47 17.97 12.99 2.49 66.53
325 731 3346 33.64 16.90 12.77 3.95 66.36
326 726 3311 33.91 13.60 7.04 13.25 66.09
327 723 3294 35.11 13.92 7.89 13.28 64.89
328 716 3272 33.96 18.66 11.70 3.57 66.04
329 710 3252 37.51 20.03 15.40 2.07 62.49
330 730 3383 34.58 18.42 12.41 3.73 65.42
331 1179 3622 40.96 16.47 10.99 13.48 59.04
332 1190 3619 41.55 17.67 10.48 13.38 58.45
333 1161 3560 37.09 16.32 9.17 11.58 62.91
334 1164 3568 54.64 28.07 11.34 15.22 45.36
335 1111 3499 48.77 23.65 11.22 13.88 51.23
336 1099 3630 65.71 32.27 17.58 15.84 34.29
337 1052 3601 53.50 18.40 18.09 17.00 46.50
338 1051 3604 39.45 16.40 9.23 13.80 60.55
339 1048 3601 49.05 19.57 15.99 13.48 50.95
340 1001 3540 53.92 24.71 15.36 13.84 46.08
341 1004 3530 49.84 24.62 11.37 13.82 50.16
342 980 3477 52.12 26.17 12.78 13.16 47.88
343 981 3528 55.34 28.60 13.28 13.43 44.66
344 961 3479 45.41 21.04 10.30 14.05 54.59
345 972 3490 47.81 22.00 11.84 13.96 52.19
346 973 3478 50.16 28.08 15.67 6.39 49.84
347 947 3422 48.16 25.83 10.62 11.69 51.84
348 942 3403 47.89 22.62 12.29 12.97 52.11
349 963 3410 47.71 28.93 16.32 2.44 52.29
350 958 3517 46.98 28.29 16.35 2.32 53.02
351 957 3503 48.60 27.14 14.27 7.17 51.40
352 951 3482 46.30 21.08 11.07 14.13 53.70
353 943 3445 46.37 23.77 11.98 10.61 53.63
354 928 3417 36.80 18.32 7.90 10.56 63.20
355 880 3323 58.70 31.89 12.77 14.02 41.30
356 937 3509 56.67 34.02 15.85 6.77 43.33
357 930 3447 33.52 20.49 11.22 1.80 66.48
358 927 3457 34.24 20.03 12.06 2.13 65.76
359 921 3421 38.00 22.15 13.33 2.50 62.00
360 841 3327 40.82 24.98 12.76 3.07 59.18
361 817 3438 28.28 16.21 10.31 1.75 71.72
362 701 3315 69.06 36.65 15.90 16.48 30.94
363 693 3316 62.69 31.99 14.58 16.10 37.31
364 711 3261 62.94 36.04 12.24 14.64 37.06
365 698 3235 60.70 35.96 15.25 9.48 39.30
366 685 3208 62.53 34.34 13.75 14.42 37.47
367 642 3138 52.45 29.80 7.75 14.88 47.55
368 635 3221 67.36 37.50 14.60 15.24 32.64
369 721 3349 67.37 32.27 18.37 16.71 32.63
370 681 3347 58.32 23.35 17.73 17.22 41.68
371 683 3322 50.24 23.03 12.38 14.82 49.76
372 678 3316 50.69 23.25 14.01 13.40 49.31
373 668 3291 57.88 26.97 17.29 13.59 42.12
374 634 3228 54.98 31.37 13.00 10.58 45.02
375 630 3210 49.68 31.08 14.96 3.62 50.32
376 600 3228 59.55 37.91 17.82 3.80 40.45
377 597 3226 55.56 31.51 13.68 10.35 44.44
378 591 3190 53.60 28.63 11.05 13.89 46.40
379 580 3179 63.71 34.86 13.40 15.43 36.29
380 578 3142 62.36 33.83 14.56 13.96 37.64
381 499 3020 77.38 43.64 17.79 15.92 22.62
382 479 3095 68.37 39.29 15.03 14.03 31.63
383 419 3053 72.91 42.48 15.47 14.95 27.09
384 429 3049 61.94 36.37 11.75 13.81 38.06
385 426 3032 66.76 37.47 14.81 14.47 33.24
386 412 3006 63.23 35.85 12.47 14.90 36.77
387 392 2957 59.85 33.42 13.09 13.31 40.15
388 388 2938 49.33 32.22 14.00 3.08 50.67
389 719 3234 55.26 32.90 19.03 3.31 44.74
390 692 3208 52.60 33.35 11.55 7.68 47.40
391 689 3205 54.91 29.42 11.58 13.89 45.09
392 622 3161 57.61 31.78 11.69 14.13 42.39
393 687 3205 68.36 34.89 16.46 16.99 31.64
394 655 3186 77.81 43.02 21.40 13.38 22.19
395 596 3253 71.05 39.94 16.16 14.94 28.95
396 584 3244 59.40 33.92 11.16 14.29 40.60
397 583 3228 54.32 29.96 10.47 13.86 45.68
398 598 3229 46.65 30.38 10.73 5.52 53.35
399 581 3182 42.04 28.56 11.70 1.76 57.96
400 592 3179 45.65 29.27 14.14 2.22 54.35
401 631 3176 59.60 36.25 12.92 10.41 40.40
402 631 3374 49.89 26.22 9.54 14.12 50.11
403 648 3434 51.95 21.39 14.43 16.11 48.05
404 649 3403 46.07 21.16 13.99 10.90 53.93
405 649 3403 38.47 23.30 13.54 1.61 61.53
406 612 3350 46.44 22.84 13.98 9.60 53.56
407 607 3331 58.70 32.15 12.14 14.39 41.30
408 604 3314 56.51 30.86 11.34 14.29 43.49
409 596 3291 53.18 29.20 9.60 14.36 46.82
410 591 3271 52.83 29.35 9.96 13.50 47.17
411 595 3354 55.76 34.52 14.94 6.27 44.24
412 561 3269 62.32 38.59 14.01 9.70 37.68
413 556 3235 49.70 26.73 8.83 14.12 50.30
414 539 3203 65.95 38.50 13.29 14.14 34.05
415 426 3077 62.72 35.40 12.78 14.52 37.28
416 393 3125 48.92 32.46 11.53 4.91 51.08
417 398 3132 56.30 39.24 14.30 2.73 43.70
418 440 3211 48.41 30.32 12.88 5.18 51.59
419 434 3193 52.23 36.13 11.26 4.83 47.77
420 416 3164 63.96 37.17 12.66 14.10 36.04
421 383 3106 59.62 37.52 8.33 13.76 40.38
422 409 3135 55.80 32.53 9.65 13.60 44.20
423 389 3101 53.05 30.39 9.29 13.35 46.95
424 377 3070 59.25 34.91 10.20 14.12 40.75
425 377 3182 68.63 41.81 12.41 14.39 31.37
426 353 3162 63.52 41.60 13.19 8.70 36.48
427 345 3141 50.46 34.85 13.14 2.45 49.54
428 358 3139 44.08 30.21 12.08 1.77 55.92
429 334 3087 56.45 37.52 16.40 2.52 43.55
430 329 3068 47.82 31.52 14.15 2.14 52.18
431 323 3054 47.09 32.29 12.78 1.99 52.91
432 323 3143 52.35 29.88 10.43 12.03 47.65
433 305 3110 54.71 30.64 10.16 13.90 45.29
434 294 3063 55.62 30.87 10.91 13.82 44.38
435 376 3196 53.49 31.07 13.66 8.75 46.51
436 322 3192 47.54 23.47 19.57 4.48 52.46
437 328 3167 47.78 24.52 19.16 4.07 52.22
438 346 3164 37.70 21.90 13.91 1.87 62.30
439 339 3157 49.57 23.45 13.44 12.66 50.43
440 305 3108 54.68 28.51 12.31 13.84 45.32
441 300 3074 49.91 28.61 7.65 13.63 50.09
442 297 3056 51.24 28.43 9.21 13.58 48.76
443 293 3023 46.69 28.50 12.96 5.21 53.31
444 280 3081 55.97 33.38 16.33 6.24 44.03
