# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_174332
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 6400
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
90  27.42 12.23 11.67 3.51 72.58
91  28.53 6.41 16.25 5.85 71.47
92  31.13 10.60 16.24 4.27 68.87
93  22.82 7.60 11.62 3.58 77.18
94  29.23 10.62 15.31 3.28 70.77
95  52.27 33.11 16.30 2.85 47.73
96  39.57 22.53 13.87 3.15 60.43
97  54.99 28.18 18.88 7.91 45.01
98  50.31 26.68 20.02 3.59 49.69
99  38.41 21.04 13.82 3.53 61.59
100  35.27 20.63 11.75 2.87 64.73
101  41.41 22.26 15.59 3.55 58.59
102  34.69 19.44 12.33 2.90 65.31
103  27.39 13.64 10.29 3.44 72.61
104  26.62 13.54 10.51 2.54 73.38
105  36.38 17.54 16.65 2.18 63.62
106  26.76 13.87 9.98 2.90 73.24
107  27.11 14.29 10.23 2.57 72.89
108  31.36 15.78 12.03 3.52 68.64
109  51.33 28.68 16.67 5.95 48.67
110  54.62 30.49 18.13 5.98 45.38
111  50.63 29.58 17.51 3.53 49.37
112  44.12 26.16 14.76 3.18 55.88
113  51.68 28.00 19.72 3.93 48.32
114  41.34 21.80 15.89 3.63 58.66
115  30.14 14.37 12.22 3.53 69.86
116  40.37 24.84 12.62 2.89 59.63
117  32.42 15.64 13.74 3.03 67.58
118  29.17 11.70 13.72 3.73 70.83
119  38.46 20.46 15.28 2.71 61.54
120  46.53 29.33 14.24 2.94 53.47
121  31.73 15.86 12.38 3.47 68.27
122  30.90 16.92 11.00 2.96 69.10
123  42.84 23.03 16.87 2.92 57.16
124  33.36 9.58 18.08 5.69 66.64
125  30.60 8.91 17.03 4.64 69.40
126  23.25 7.09 12.23 3.91 76.75
127  26.08 9.16 14.11 2.79 73.92
128  31.09 12.12 15.01 3.94 68.91
129  28.74 11.63 13.59 3.50 71.26
130  31.45 14.45 13.63 3.35 68.55
131  26.52 9.21 14.16 3.14 73.48
132  41.00 21.77 15.36 3.86 59.00
133  34.77 17.47 13.96 3.32 65.23
134  43.38 25.40 13.99 3.97 56.62
135  25.83 14.73 9.18 1.90 74.17
136  29.16 15.55 11.21 2.38 70.84
137  32.65 15.24 14.20 3.19 67.35
138  34.15 18.24 12.70 3.19 65.85
139  42.88 25.68 14.09 3.09 57.12
140  39.06 22.56 13.94 2.54 60.94
141  64.82 31.98 23.41 9.40 35.18
142  49.39 27.89 17.97 3.51 50.61
143  42.05 24.33 14.27 3.43 57.95
144  45.34 26.02 15.88 3.42 54.66
145  30.35 16.94 10.54 2.86 69.65
146  50.12 30.45 14.59 5.06 49.88
147  46.07 24.02 16.92 5.11 53.93
148  42.26 23.15 15.05 4.05 57.74
149  37.47 20.69 13.82 2.94 62.53
150  51.31 32.92 14.84 3.53 48.69
151  37.52 20.19 13.86 3.45 62.48
152  30.07 14.25 13.21 2.59 69.93
153  29.30 14.50 12.55 2.23 70.70
154  33.91 17.38 12.75 3.77 66.09
155  30.42 14.64 13.03 2.73 69.58
156  28.99 13.73 11.85 3.39 71.01
157  29.79 8.82 15.59 5.35 70.21
158  34.81 9.74 20.00 5.05 65.19
159  24.84 8.22 12.90 3.69 75.16
160  25.92 8.66 13.84 3.40 74.08
161  33.99 15.64 14.96 3.37 66.01
162  34.59 21.12 10.48 2.97 65.41
163  34.06 16.60 14.20 3.23 65.94
164  30.40 14.80 12.83 2.75 69.60
165  28.98 14.11 11.65 3.19 71.02
